순위,제목
1위,Do it! 점프 투 파이썬
2위,혼자 공부하는 머신러닝+딥러닝
3위,혼자 공부하는 파이썬
4위,핸즈온 머신러닝
5위,비전공자도 이해할 수 있는 AI 지식
6위,만들면서 배우는 생성 AI
7위,난생처음 파이썬 프로그래밍
8위,만들면서 배우는 파이썬과 40개의 작품들
9위,코딩 자율학습 나도코딩의 파이썬 입문
10위,이것이 취업을 위한 코딩 테스트다 with 파이썬 
11위,인공지능
12위,개발자를 위한 실전 선형대수학
13위,밑바닥부터 시작하는 딥러닝 
14위,알고리즘 인사이드 with 파이썬
15위,두근두근 파이썬
16위,파이썬 알고리즘 인터뷰
17위,나는 파이썬으로 머신러닝한다 2
18위,파이썬 머신러닝 완벽 가이드
19위,파이썬으로 쉽게 배우는 자료구조
20위,101가지 문제로 배우는 딥러닝 허깅페이스 트랜스포머 with 파이토치
21위,Do it! 점프 투 파이썬
22위,혼자 공부하는 머신러닝+딥러닝
23위,혼자 공부하는 파이썬
24위,핸즈온 머신러닝
25위,비전공자도 이해할 수 있는 AI 지식
26위,만들면서 배우는 생성 AI
27위,난생처음 파이썬 프로그래밍
28위,만들면서 배우는 파이썬과 40개의 작품들
29위,코딩 자율학습 나도코딩의 파이썬 입문
30위,이것이 취업을 위한 코딩 테스트다 with 파이썬 
31위,인공지능
32위,개발자를 위한 실전 선형대수학
33위,밑바닥부터 시작하는 딥러닝 
34위,알고리즘 인사이드 with 파이썬
35위,두근두근 파이썬
36위,파이썬 알고리즘 인터뷰
37위,나는 파이썬으로 머신러닝한다 2
38위,파이썬 머신러닝 완벽 가이드
39위,파이썬으로 쉽게 배우는 자료구조
40위,101가지 문제로 배우는 딥러닝 허깅페이스 트랜스포머 with 파이토치
41위,Do it! 점프 투 파이썬
42위,혼자 공부하는 머신러닝+딥러닝
43위,혼자 공부하는 파이썬
44위,핸즈온 머신러닝
45위,비전공자도 이해할 수 있는 AI 지식
46위,만들면서 배우는 생성 AI
47위,난생처음 파이썬 프로그래밍
48위,만들면서 배우는 파이썬과 40개의 작품들
49위,코딩 자율학습 나도코딩의 파이썬 입문
50위,이것이 취업을 위한 코딩 테스트다 with 파이썬 
51위,인공지능
52위,개발자를 위한 실전 선형대수학
53위,밑바닥부터 시작하는 딥러닝 
54위,알고리즘 인사이드 with 파이썬
55위,두근두근 파이썬
56위,파이썬 알고리즘 인터뷰
57위,나는 파이썬으로 머신러닝한다 2
58위,파이썬 머신러닝 완벽 가이드
59위,파이썬으로 쉽게 배우는 자료구조
60위,101가지 문제로 배우는 딥러닝 허깅페이스 트랜스포머 with 파이토치
